ID;Text;Label
D1-0001;The ABC Conjecture is a profound proposal in number theory that relates the additive and multiplicative properties of integers. It involves three coprime integers a b and c such that a plus b equals c and examines the product of their distinct prime factors known as the radical. The conjecture suggests that for any given epsilon the radical of the product abc raised to the power of one plus epsilon is usually greater than c. If proven it would provide a unified framework for solving many famous Diophantine problems including a much simpler proof for Fermat's Last Theorem and other exponential equations.;Google
D1-0002;Anderson's orthogonality catastrophe in graphene, at energies close to the Dirac point, is analyzed. It is shown that, in clean systems, the orthogonality catastrophe is suppressed, due to the vanishing density of states at the Dirac point. In the presence of preexisting localized states at the Dirac energy, the orthogonality catastrophe shows similar features to those found in normal metals with a finite density of states at the Fermi level. The implications for the Kondo effect induced by magnetic impurities, and for the Fermi edge singularities in tunneling processes are also discussed.;Human
D1-0003;The muscular system is primarily responsible for movement, maintaining posture, and generating heat. It consists of three main types of muscle tissue: skeletal, smooth, and cardiac. Skeletal muscles, attached to bones by tendons, are voluntary and allow for locomotion and manipulation of the environment. Smooth muscles, found in the walls of internal organs like the stomach and intestines, are involuntary and control processes such as digestion. Cardiac muscle, exclusive to the heart, is also involuntary and responsible for pumping blood, characterized by its rhythmic contractions.;Meta
D1-0004;Sufficient statistics encapsulate all the information in a dataset that is relevant to estimating a particular parameter, meaning that conditional on the sufficient statistic, the data provide no additional information about the parameter. The concept was formalized by Ronald Fisher and is closely linked to the Factorization Theorem, which states that a statistic is sufficient if and only if the likelihood function can be factored into a part depending only on the data through the statistic and a part independent of the parameter. Exponential family distributions, including the normal, Poisson, binomial, and exponential distributions, each possess natural sufficient statistics that make them particularly amenable to Bayesian and frequentist statistical analysis.;Anthropic
D1-0005;Power plant engineering involves the design and operation of facilities that generate electricity from various energy sources like coal or natural gas or nuclear fuel. The Rankine cycle is the fundamental thermodynamic process used in steam power plants where water is boiled to high pressure steam to drive a turbine. Modern plants utilize combined cycle technology where waste heat from a gas turbine is used to generate additional steam for a second turbine increasing overall thermal efficiency. Cooling towers and condensers are also critical components that must be managed to maintain the necessary pressure gradient for maximum power output;Google
D1-0006;By using only combinatorial data on two posets X and Y, we construct a set of so-called formulas. A formula produces simultaneously, for any abelian category A, a functor between the categories of complexes of diagrams over X and Y with values in A. This functor induces a triangulated functor between the corresponding derived categories. This allows us to prove, for pairs X, Y of posets sharing certain common underlying combinatorial structure, that for any abelian category A, regardless of its nature, the categories of diagrams over X and Y with values in A are derived equivalent.;Human
D1-0007;Our universe is observed to be accelerating due to the dominant dark energy with negative pressure. The dark energy equation of state (w) holds a key to understanding the ultimate fate of the universe. The cosmic voids behave like bubbles in the universe so that their shapes must be quite sensitive to the background cosmology. Assuming a flat universe and using the priors on the matter density parameter (Omega_m) and the dimensionless Hubble parameter (h), we demonstrate analytically that the ellipticity evolution of cosmic voids may be a sensitive probe of the dark energy equation of state. We also discuss the parameter degeneracy between w and Omega_m.;Human
D1-0008;A square-free integer is a number that is not divisible by any perfect square other than one meaning its prime factorization consists of distinct primes each with an exponent of one. The density of square-free integers in the set of natural numbers is exactly six divided by the square of pi which is approximately sixty percent. This result is obtained by considering the reciprocal of the Riemann zeta function evaluated at two. Square-free numbers are important in various number-theoretic contexts including the definition of the Mobius function and the study of fundamental discriminants in the theory of quadratic fields and their unique algebraic structures.;Google
D1-0009;Bell inequalities are mathematical relations derived under the assumption that physical systems obey local realism meaning measurement outcomes are predetermined and no influence travels faster than light. Quantum mechanics predicts correlations between entangled particles that violate these inequalities. Experiments using photons ions and superconducting qubits have repeatedly confirmed the quantum predictions demonstrating that nature does not satisfy local hidden variable descriptions. These results imply that entangled systems exhibit nonlocal correlations even though they cannot be used to transmit information instantaneously. Bell tests have become foundational experiments in quantum foundations and also play a role in device independent quantum cryptography protocols.;OpenAI
D1-0010;We investigate the Jeans instability of a galactic disk embedded in a dynamically responsive dark halo. It is shown that the disk-halo system becomes nominally Jeans unstable. On small scales the instability is suppressed, if the Toomre stability index Q_T is higher than a certain threshold, but on large scales the Jeans instability sets invariably in. However, using a simple self-consistent disk-halo model it is demonstrated that this occurs on scales which are much larger than the system so that this is indeed only a nominal effect. From a practical point of view the Jeans instability of galactic disks is not affected by a live dark halo.;Human
D1-0011;The concept of a smart grid involves incorporating digital communication technology into the electricity network to enable two-way communication between utilities and consumers, as well as between grid components. This allows for real-time monitoring, control, and optimization of energy flow, which is crucial for managing the distributed and variable nature of renewable energy sources. Smart grids can facilitate demand-response programs, integrate distributed generation, enhance grid resilience, and improve overall energy efficiency. By dynamically balancing supply and demand, smart grids play a pivotal role in enabling a high penetration of renewables while maintaining reliability and power quality.;Meta
D1-0012;Ecosystem engineering refers to the process by which organisms directly or indirectly modulate the availability of resources to other species by causing physical state changes in biotic or abiotic materials. These engineers create, modify, or maintain habitats. Beaver dams, which create wetlands and alter water flow, are a classic example. Termites build mounds that change soil properties and water infiltration. Ecosystem engineers can have profound impacts on biodiversity, nutrient cycling, and hydrological regimes, playing a fundamental role in shaping the landscapes and communities where they reside.;Meta
D1-0013;Dark matter remains one of the most elusive mysteries in modern astrophysics because it does not emit or absorb electromagnetic radiation yet exerts a significant gravitational influence. Observations of galactic rotation curves reveal that visible matter alone cannot account for the high velocities of stars located at the outskirts of galaxies. This discrepancy suggests the presence of a massive invisible halo surrounding galactic structures that provides the necessary gravitational binding. While various candidates like Weakly Interacting Massive Particles have been proposed direct detection remains a primary goal for underground laboratories and high energy particle accelerators seeking to understand the dark sector;Google
D1-0014;The default mode network (DMN) is a network of interacting brain regions that is most active when an individual is not focused on the outside world and the brain is at wakeful rest. It includes parts of the medial prefrontal cortex, posterior cingulate cortex, and angular gyrus. The DMN is involved in self-referential thought, mind-wandering, recalling past events, and imagining future scenarios. Dysregulation of the DMN has been implicated in various psychiatric and neurological disorders, including depression, anxiety, and Alzheimer's disease, suggesting its critical role in self-awareness and internal mentation.;Meta
D1-0015;Colloidal systems consist of particles dispersed within a continuous medium, exhibiting properties distinct from true solutions or suspensions. Brownian motion, electrostatic interactions, and van der Waals forces govern particle stability, aggregation, and phase behavior. Physical chemists study phenomena such as micelle formation, emulsions, foams, and gels, using techniques like dynamic light scattering and electron microscopy to characterize particle size and distribution. Surface chemistry principles, including adsorption and zeta potential measurements, inform colloid stabilization strategies. Applications span pharmaceuticals, food science, and materials engineering, where understanding colloidal interactions enables controlled delivery systems, improved rheology, and the development of advanced functional materials with predictable properties.;OpenAI
D1-0016;Electromagnetic field theory provides the mathematical framework for understanding how electric and magnetic fields interact with matter and propagate through space. Maxwell's equations, a set of four partial differential equations, describe how charges and currents generate these fields and how they relate to each other. This theory is essential for the design of everything from simple household wiring to complex radar systems and fiber optic networks. By solving these equations for specific boundary conditions, engineers can predict the behavior of electromagnetic waves and optimize the performance of electronic components. The study of wave propagation and scattering is particularly important in developing advanced stealth technologies and high-speed communication systems;Google
D1-0017;Geothermal energy originates from heat stored within the Earths crust primarily generated by radioactive decay of isotopes such as uranium thorium and potassium. In geothermal power plants wells are drilled into high temperature reservoirs where water or steam is brought to the surface to drive turbines connected to generators. Dry steam flash steam and binary cycle plants represent the main technological configurations depending on reservoir temperature and pressure. Binary cycle systems use secondary working fluids with low boiling points allowing electricity generation from moderate temperature resources. Geothermal energy provides stable baseload power because underground thermal conditions remain relatively constant over long timescales.;OpenAI
D1-0018;We study the Planck scale effects on Jarlskog determinant. Quantum gravitational (Planck scale) effects lead to an effective SU(2)_{L}\times U(1) invariant dimension-5 Lagrangian involving neutrino and Higgs fields, which gives rise to additional terms in neutrino mass matrix on electroweak symmetry breaking. We assume that gravitational interaction is flavor blind and compute the Jarlskog determinant due to the Planck scale effects. In the case of neutrino sector, the strength of CP violation is measured by Jarlskog determinant. In this paper, we assume CP violation arise from Planck scale effects. We applied our approach to study Jarlskog determinant due to the Planck scale effects.;Human
D1-0019;The Kaluza-Klein excitations of the Higgs bosons of the universal extra dimension model are extremely challenging to detect. We discuss the production and possible detection mechanisms of such excited scalars at the LHC. The dominant production mechanism of such scalars is from the decay of the excited third generation quarks. In particular, the charged Higgs boson has a large production cross-section over most of the parameter space. We highlight how one may detect these excited scalars. We also comment on the production and detection of excited neutral scalars.;Human
