ID;Text;Label
D1-0001;"Over the last few years, optical, mid-infrared and X-ray surveys have brought to light a significant number of candidate obscured AGN and, among them, many Type 2 quasars, the long-sought after ""big cousins'' of local Seyfert 2 galaxies. However, despite the large amount of multi-wavelength data currently available, a proper census and a panchromatic view of the obscured AGN/quasar population are still missing, mainly due to observational limitations. Here we provide a review of recent results on the identification of obscured AGN, focusing primarily on the population of Type 2 quasars selected in the optical band from the Sloan Digital Sky Survey.";Human
D1-0002;Synthetic biology combines principles of genetics engineering and computational design to construct new biological systems or redesign existing ones. Researchers can assemble genetic circuits composed of promoters regulatory sequences and coding genes to perform specific functions inside cells. For example engineered bacteria may produce pharmaceuticals detect environmental pollutants or generate renewable biofuels. Synthetic biology relies heavily on standardized genetic components and precise genome editing technologies. Although the field holds tremendous promise it also raises ethical and biosafety questions regarding the responsible creation and release of engineered organisms;OpenAI
D1-0003;Quadratic forms arise when a vector is multiplied by a symmetric matrix and then by its transpose producing a scalar quantity. Such expressions appear frequently in physics optimization and statistics because they measure energy variance or curvature. Through eigen decomposition a quadratic form can be expressed as a sum of scaled squares along orthogonal directions. The signs and magnitudes of eigenvalues determine whether the form is positive definite negative definite or indefinite. This classification plays a crucial role in determining stability of equilibria and convexity of optimization problems.;OpenAI
D1-0004;Heavy metal chemistry in inorganic contexts refers to the chemistry of dense metallic elements such as lead, mercury, cadmium, arsenic, and thallium, many of which are highly toxic to biological systems. Lead forms stable +2 compounds and was historically used in paints and plumbing, where its toxicity caused widespread health problems. Mercury, unique in being a liquid metal at room temperature, forms both +1 and +2 compounds, with methylmercury being a potent neurotoxin bioaccumulated in aquatic food chains. Cadmium is used in rechargeable nickel-cadmium batteries but poses severe environmental and health risks. The remediation of heavy metal contaminated environments involves inorganic chemical processes including precipitation, adsorption, ion exchange, and phytoremediation techniques to reduce bioavailability of toxic metals.;Anthropic
D1-0005;Inorganic reaction mechanisms provide insight into how metal complexes and nonmetal compounds interact, transform, and exchange ligands. Substitution reactions, redox processes, and electron transfer pathways determine product formation and stability. Associative and dissociative mechanisms describe ligand exchange kinetics in coordination compounds. Understanding nucleophilic attack, oxidative addition, and reductive elimination is crucial in organometallic chemistry. Inorganic chemists combine kinetic studies, spectroscopy, and computational modeling to elucidate reaction pathways. Knowledge of mechanisms allows rational design of catalysts, optimization of synthetic routes, and prediction of side reactions. Mechanistic insight bridges fundamental chemistry with applications in materials, energy, and pharmaceuticals.;OpenAI
D1-0006;Protein quality control mechanisms ensure the fidelity of the cellular proteome by monitoring proper protein folding, preventing misfolded protein aggregation, and clearing damaged proteins that cannot be refolded. Molecular chaperones, including HSP70, HSP90, and the chaperonin GroEL/HSP60 family, assist nascent and stress-denatured proteins in achieving their native three-dimensional conformations by preventing inappropriate intermolecular interactions. When chaperone-assisted refolding is unsuccessful, misfolded proteins are targeted for degradation by the ubiquitin-proteasome system or through autophagy. Failure of protein quality control leads to the toxic accumulation of protein aggregates, which is a pathological hallmark of neurodegenerative diseases including Alzheimer's disease, Parkinson's disease, Huntington's disease, and amyotrophic lateral sclerosis, in which specific misfolded protein species accumulate in affected neurons.;Anthropic
D1-0007;Helicobacter pylori is a Gram-negative, spiral-shaped bacterium that colonizes the gastric mucosa of approximately half the world's human population, representing a major etiological factor in peptic ulcer disease and gastric carcinoma. Its ability to survive in the highly acidic environment of the stomach is facilitated by the enzyme urease, which hydrolyzes urea to produce ammonia, neutralizing the surrounding gastric acid. H. pylori induces chronic inflammation of the gastric mucosa through injection of virulence proteins via a type IV secretion system. The discovery of its role in ulcer disease by Barry Marshall and Robin Warren, awarded the Nobel Prize in 2005, revolutionized the clinical management of peptic ulcer disease through antibiotic-based eradication therapy.;Anthropic
D1-0008;Agonists are chemical substances that bind to a receptor and activate it to produce a biological response similar to that of an endogenous ligand. Full agonists display high intrinsic activity and can elicit a maximal response from the system. In contrast, partial agonists bind to the same receptor site but provide a submaximal response even at saturating concentrations. This distinction is vital in clinical pharmacology when managing conditions like opioid addiction, where partial agonists can reduce withdrawal symptoms without inducing the same level of respiratory depression seen with full agonists. The specific molecular structure determines how effectively the ligand stabilizes the active receptor conformation;Google
D1-0009;Electromagnetic shielding involves reducing the penetration of unwanted electromagnetic fields into sensitive electronic systems. Conductive enclosures called Faraday cages redistribute charges in response to external electric fields effectively canceling the field within the interior. For time varying fields both conductive and magnetic materials may be required to attenuate electric and magnetic components. Shielding is critical in environments where electromagnetic interference could disrupt medical instruments communication devices or scientific measurements. Proper design requires understanding field penetration skin depth and resonance effects in conductive materials.;OpenAI
D1-0010;The glyoxylate cycle is a metabolic pathway found in plants, bacteria, and fungi that allows them to convert fats into carbohydrates. This cycle bypasses the two decarboxylation steps of the citric acid cycle, using the enzymes isocitrate lyase and malate synthase to convert isocitrate and acetyl-CoA into succinate and malate. These intermediates can then be used for gluconeogenesis to produce glucose. This pathway is especially important during seed germination, where stored oils are converted into the sugars needed for the growing seedling before it can perform photosynthesis. Humans lack the necessary enzymes for this cycle, meaning we cannot achieve a net synthesis of glucose from fatty acids;Google
D1-0011;Adaptive radiation describes the rapid diversification of a single ancestral lineage into a multitude of ecologically distinct species, typically following the colonization of a new environment or the emergence of a novel adaptation. The Darwin's finches of the Galápagos Islands represent a textbook example, where a single colonizing species gave rise to a diversity of beak morphologies adapted to exploit different food resources. Similarly, the cichlid fishes of the East African Great Lakes have diversified explosively into hundreds of species occupying diverse ecological niches. Adaptive radiations are often triggered by ecological opportunity, the release from competition, or key innovations that open access to previously unexploited resources.;Anthropic
D1-0012;Phosphorylation is a crucial post-translational modification in biochemistry, involving the addition of a phosphate group to a protein, typically catalyzed by protein kinases. This modification can significantly alter a protein's activity, conformation, stability, or interaction partners, thereby acting as a molecular switch. Conversely, dephosphorylation, catalyzed by protein phosphatases, removes the phosphate group, reversing the effect. This reversible phosphorylation-dephosphorylation cycle is a primary mechanism for regulating virtually all cellular processes, including metabolism, cell growth, signal transduction, and gene expression, making it central to cellular control.;Meta
D1-0013;A possible equivalence of scalar dark matter, the inflaton, and modified gravity is analyzed. After a conformal mapping, the dependence of the effective Lagrangian on the curvature is not only singular but also bifurcates into several almost Einsteinian spaces, distinguished only by a different effective gravitational strength and cosmological constant. A swallow tail catastrophe in the bifurcation set indicates the possibility for the coexistence of different Einsteinian domains in our Universe. This `triple unification' may shed new light on the nature and large scale distribution not only of dark matter but also on `dark energy', regarded as an effective cosmological constant, and inflation.;Human
D1-0014;Cell-mediated immunity is a specialized immune response that does not involve antibodies but rather relies on the activation of phagocytes and cytotoxic T cells. This arm of the adaptive immune system is particularly effective against intracellular pathogens such as viruses and certain bacteria like Mycobacterium tuberculosis which can survive inside macrophages. Cytotoxic T cells recognize infected cells presenting foreign antigens on MHC Class I molecules and induce them to undergo apoptosis through the release of perforin and granzymes. Helper T cells contribute by secreting cytokines that enhance the killing capacity of macrophages and direct the overall cellular response. This form of immunity is also critical for the surveillance and destruction of malignant tumor cells in the body;Google
D1-0015;Disruptive selection also known as diversifying selection describes a process where extreme phenotypes at both ends of the spectrum are favored over the intermediate values. This can lead to the division of a single population into two distinct groups with different traits which may eventually result in speciation. For instance in an environment with both small and large seeds birds with either very small beaks or very large beaks might have a feeding advantage over those with medium sized beaks. By reducing the fitness of the average individuals disruptive selection increases the overall phenotypic variance and promotes the exploration of different ecological niches.;Google
D1-0016;"Dimension is a fundamental concept in geometry and topology. While intuitively simple for Euclidean spaces, its definition becomes more intricate in abstract topological spaces. Topological dimension, such as Lebesgue covering dimension, defines dimension based on the covering properties of a space. Fractal dimensions, like the Hausdorff dimension, capture the irregular scaling properties of fractals. The choice of dimension definition depends on the context and the properties one wishes to highlight, reflecting the nuanced ways mathematicians characterize the ""size"" and complexity of various spaces.";Meta
D1-0017;This paper describes an approach for obtaining direct access to the attacked squares of sliding pieces without resorting to rotated bitboards. The technique involves creating four hash tables using the built in hash arrays from an interpreted, high level language. The rank, file, and diagonal occupancy are first isolated by masking the desired portion of the board. The attacked squares are then directly retrieved from the hash tables. Maintaining incrementally updated rotated bitboards becomes unnecessary as does all the updating, mapping and shifting required to access the attacked squares. Finally, rotated bitboard move generation speed is compared with that of the direct hash table lookup method.;Human
D1-0018;Biological fitness is a measure of an individual's reproductive success relative to other members of its population and it is the central focus of natural selection. Fitness is not just about being the strongest or fastest but rather about the ability to survive and pass on genes to the next generation. An organism that lives a long time but fails to reproduce has zero fitness in an evolutionary sense. Conversely an organism that dies young but produces many viable offspring has high fitness. This concept allows biologists to quantify how different traits contribute to the survival and reproduction of individuals in their specific ecological contexts.;Google
D1-0019;Tidal disruption events occur when a star wanders too close to a supermassive black hole and is torn apart by the extreme tidal forces of the gravitational field. The side of the star closer to the black hole experiences a much stronger pull than the far side causing the star to be elongated and eventually shredded into a stream of gas. Some of this stellar debris is swallowed by the black hole while the rest is flung away at high speeds creating a bright flare of radiation. These events provide a rare opportunity for scientists to study dormant black holes that are otherwise invisible in galactic centers;Google
D1-0020;Citizen science plays an increasingly vital role in ecological research and conservation. It involves public participation in scientific research, often through data collection or analysis under the guidance of professional scientists. Projects can range from monitoring bird populations and tracking plant phenology to surveying water quality. Citizen science expands the geographic and temporal scale of data collection, providing valuable information that would be impossible for scientists alone to gather. This collaborative approach not only aids scientific understanding but also fosters public engagement, environmental awareness, and a sense of stewardship for natural ecosystems.;Meta
D1-0021; hyphenated techniques combine two or more analytical methods, typically a separation technique with a detection technique, to enhance analytical performance. A prime example is Gas Chromatography-Mass Spectrometry (GC-MS), which couples the excellent separation power of GC with the identification capabilities of MS. Liquid Chromatography-Mass Spectrometry (LC-MS) is another powerful hyphenated technique for non-volatile compounds. These combinations offer superior sensitivity, selectivity, and comprehensive information compared to individual methods, making them invaluable for analyzing complex mixtures in diverse fields such as environmental analysis, proteomics, and drug metabolism studies.;Meta
D1-0022;Construction engineering integrates project management, design implementation, and quality control to execute civil engineering projects efficiently. Engineers oversee scheduling, budgeting, resource allocation, and risk management to ensure timely and cost-effective project completion. Techniques such as Building Information Modeling (BIM) facilitate visualization, coordination, and clash detection among multiple disciplines. Construction engineers monitor material quality, structural integrity, and compliance with safety standards. Sustainable construction practices, including waste reduction, energy-efficient methods, and environmentally responsible material sourcing, are increasingly emphasized. Advanced machinery, prefabrication, and modular construction enhance efficiency, safety, and innovation in civil engineering project delivery.;OpenAI
D1-0023;Phase transitions, also known as phase changes, are physical processes in which a substance changes from one state of matter (solid, liquid, gas, plasma) to another. These transitions occur at specific temperatures and pressures, such as melting (solid to liquid), freezing (liquid to solid), vaporization (liquid to gas), condensation (gas to liquid), sublimation (solid to gas), and deposition (gas to solid). During a phase transition, the temperature of the substance remains constant while latent heat is absorbed or released. Understanding phase transitions is crucial in materials science, meteorology, and engineering, influencing everything from manufacturing processes to climate models.;Meta
D1-0024;Macroevolution refers to large scale evolutionary patterns that occur above the species level over extended geological timescales. These patterns include the origin of major taxonomic groups adaptive radiations and mass extinction events. Macroevolutionary processes emerge from the cumulative effects of microevolutionary mechanisms such as mutation selection drift and gene flow operating within populations. However interactions with environmental change continental drift and global climate shifts also play crucial roles. By integrating fossil evidence phylogenetic analyses and ecological theory scientists attempt to understand how biodiversity expands contracts and reorganizes through deep time across the history of life on Earth.;OpenAI
D1-0025;Phenomenology of the notion of an unparticle U, recently perceived by Georgi, to describe a scale invariant sector with a non-trivial infrared fixed point at a higher energy scale is explored in details. Behaving like a collection of d_U (the scale dimension of the unparticle operator O_U) invisible massless particles, this unparticle can be unveiled by measurements of various energy distributions for the processes Z to fermion pair + U and e-e+ to gamma U at e-e+ colliders, as well as mono-jet production at hadron colliders. We also study the propagator effects of the unparticle through the Drell-Yan tree level process and the one-loop muon anomaly.;Human
D1-0026;The cell cycle is an ordered series of events that leads to the duplication of genetic material and the eventual division of a cell into two daughter cells. It is divided into interphase, which includes the G1, S, and G2 phases, and the mitotic phase. During the S phase, DNA replication occurs to ensure that each new cell has a complete genome. Regulatory proteins known as cyclins and cyclin-dependent kinases act as checkpoints to monitor the integrity of the process and prevent errors. If damage is detected, the cycle can be arrested to allow for repair or directed toward apoptosis, ensuring that only healthy cells proliferate;Google
D1-0027;Direct correlation between temporal structural fluctuations and electron wind force is demonstrated, for the first time, by STM imaging and analysis of atomically-resolved motion on a thin film surface under large applied current (10e5 Amp/sqare cm). The magnitude of the momentum transfer between current carriers and atoms in the fluctuating structure is at least five to fifteen times (plus or minus one sigma range) larger than for freely diffusing adatoms. The corresponding changes in surface resistivity will contribute significant fluctuation signature to nanoscale electronic properties.;Human
D1-0028;Coulomb law quantifies the electrostatic force between two stationary electric charges. The magnitude of the force is proportional to the product of the charges and inversely proportional to the square of the distance separating them. This inverse square behavior arises from the geometric spreading of electric field lines in three dimensional space. The direction of the force depends on the sign of the charges with like charges repelling and opposite charges attracting. Coulomb law provides the basis for defining the electric field which represents the force experienced by a unit positive charge at any location in space.;OpenAI
D1-0029;Elasticity is the property of materials to return to their original shape after being deformed by an external force. Hooke's Law, $F = -kx$, describes this for ideal springs, where $F$ is the restoring force, $k$ is the spring constant, and $x$ is the displacement. Beyond ideal springs, concepts like Young's modulus quantify a material's stiffness, relating stress (force per unit area) to strain (relative deformation). Understanding elasticity is fundamental to material science, engineering design, and the analysis of structural integrity under various loads and stresses.;Meta
D1-0030;Kepler's laws of planetary motion describe the orbits of celestial bodies with remarkable precision and provided the empirical foundation for Newton's later work on gravity. The first law states that planets move in elliptical orbits with the sun at one focus while the second law describes how a line joining a planet and the sun sweeps out equal areas in equal times. The third law relates the orbital period of a planet to its average distance from the sun. These laws transition us from simple observation to a predictive mathematical science of the heavens above.;Google
D1-0031;In some semiconductors donor impurity atoms can attract additional electrons, forming negative donor impurity ions. Thus we have 3 energy levels for electrons: zero energy levels at the bottom of the conductivity band, negative energy levels of the bounded electrons of the negative donor impurity ions, and deeper negative energy levels of the outer electrons of the neutral donor impurity atoms. So the donor impurity atoms could serve as active centres for a maser. The maximum achievable relative population is 0.5. Typical wavelength of the generated oscillation is 0.14 mm, three level scheme could be realized at rather low temperatures, considerably lower than 6 K.;Human
D1-0032;The small intestine is the primary site of nutrient absorption in the digestive tract. Its internal surface is highly folded and lined with finger like projections called villi, each containing smaller microvilli that dramatically increase absorptive surface area. Specialized epithelial cells transport amino acids, sugars, fatty acids, vitamins, and minerals into the bloodstream or lymphatic vessels. Digestive enzymes anchored to the intestinal lining complete the breakdown of carbohydrates and proteins. Coordinated muscular contractions known as peristalsis move intestinal contents along the tract while allowing sufficient time for digestion and nutrient uptake essential for sustaining metabolism.;OpenAI
D1-0033;The Onsager reciprocal relations are a cornerstone of linear non-equilibrium thermodynamics, establishing that the matrix of phenomenological coefficients linking thermodynamic fluxes to their driving forces is symmetric. Derived by Lars Onsager in 1931 using microscopic reversibility and statistical mechanical arguments, these relations have profound physical consequences. They predict thermodynamic connections between seemingly unrelated transport phenomena, such as the equality between the thermoelectric cross-coefficient in the Seebeck and Peltier effects. The Onsager relations have been verified experimentally across a wide range of systems and provide a fundamental constraint on constitutive relations in continuum theories of heat and mass transfer, enabling consistent modeling of coupled transport in complex systems.;Anthropic
